tonality,vector_means
6.0,-290.2006530761719
7.0,-183.8302764892578
10.0,-440.6769104003906
5.0,-231.99989318847656
6.0,-362.51385498046875
9.0,-283.8878173828125
8.0,-124.3128890991211
9.0,-493.3140563964844
10.0,-621.1270141601562
9.0,-31.138296127319336
7.0,-85.87322235107422
3.0,-240.6182098388672
8.0,-162.2205352783203
9.0,-111.26766967773438
9.0,-232.35569763183594
9.0,-309.7880859375
7.0,-65.4998550415039
8.0,-174.5673065185547
9.0,-252.5512237548828
9.0,-98.00704193115234
8.0,-162.41702270507812
10.0,-154.78419494628906
7.0,-149.84140014648438
6.0,-133.26898193359375
9.0,-180.54183959960938
8.0,-225.52674865722656
6.0,-108.42145538330078
8.0,-332.9958801269531
8.0,-250.0215606689453
3.0,-220.26995849609375
8.0,-120.1400146484375
4.0,-101.52120971679688
7.0,-137.5416717529297
8.0,-99.41207885742188
7.0,-356.0035400390625
1.0,-361.7042541503906
9.0,-62.119510650634766
10.0,-112.36245727539062
7.0,-197.70425415039062
9.0,-105.75642395019531
8.0,-240.88722229003906
9.0,-31.163663864135742
8.0,-170.96502685546875
9.0,-130.81394958496094
9.0,-306.11865234375
8.0,-57.34079360961914
8.0,-91.58192443847656
10.0,-351.16217041015625
9.0,-238.159423828125
6.0,-281.0995178222656
9.0,-341.9532775878906
9.0,-96.57301330566406
7.0,-159.4255828857422
7.0,-106.8895492553711
9.0,-284.3676452636719
8.0,-131.10182189941406
10.0,-325.3353271484375
9.0,-167.315185546875
9.0,-249.88137817382812
8.0,-67.80369567871094
10.0,-276.18841552734375
10.0,-228.3274383544922
9.0,-272.5794982910156
6.0,-505.527587890625
9.0,-247.51795959472656
9.0,-247.11526489257812
9.0,-128.0569610595703
9.0,-141.18199157714844
9.0,-100.0407485961914
9.0,-267.3050537109375
6.0,-319.6908874511719
7.0,-60.0430908203125
9.0,-646.3800048828125
8.0,-639.7982788085938
10.0,-352.2364807128906
8.0,-1269.278564453125
8.0,-78.90682983398438
9.0,-129.9378204345703
9.0,-651.7941284179688
9.0,-363.59381103515625
8.0,-315.364990234375
9.0,-334.42822265625
7.0,-1487.264404296875
9.0,-426.9919128417969
6.0,-186.11085510253906
8.0,-353.55511474609375
7.0,-229.30712890625
8.0,-707.6435546875
9.0,-324.5597839355469
10.0,-312.6130065917969
10.0,-112.45586395263672
7.0,-169.6689453125
9.0,-714.0394897460938
8.0,-73.5080337524414
10.0,-448.9738464355469
10.0,-446.5124816894531
8.0,-69.65875244140625
9.0,-574.8192749023438
10.0,-375.6976623535156
10.0,-549.1759643554688
7.0,-70.33531951904297
9.0,-260.1829833984375
10.0,-156.25308227539062
10.0,-255.78616333007812
8.0,-134.0477752685547
10.0,-544.9453735351562
9.0,-521.72607421875
9.0,-332.7427062988281
9.0,-350.8011474609375
10.0,-468.172607421875
9.0,-511.5873718261719
9.0,-253.29818725585938
8.0,-410.3657531738281
10.0,-323.24810791015625
7.0,-480.49285888671875
2.0,-94.55062103271484
10.0,-413.34619140625
3.0,-2946.598876953125
7.0,-881.3363647460938
10.0,-30.891130447387695
10.0,-227.84591674804688
8.0,-860.6022338867188
5.0,-108.45764923095703
9.0,-128.06051635742188
5.0,-2167.619873046875
8.0,-835.5741577148438
7.0,-314.19036865234375
7.0,-348.7855529785156
6.0,-746.62841796875
7.0,-111.90161895751953
9.0,-65.12252807617188
9.0,-846.2239379882812
9.0,-458.5508728027344
8.0,-525.305908203125
9.0,-373.13983154296875
7.0,-820.501708984375
9.0,-451.51300048828125
8.0,-792.3185424804688
10.0,-553.4146118164062
10.0,-240.7489471435547
9.0,-640.4445190429688
8.0,-264.9261779785156
10.0,-702.7695922851562
9.0,-195.7412872314453
9.0,-306.4042663574219
6.0,-247.18289184570312
9.0,-682.4440307617188
4.0,-669.2640991210938
9.0,-849.384765625
9.0,-13.450030326843262
5.0,-203.68475341796875
10.0,-111.9383316040039
9.0,-80.1328125
10.0,-195.6857452392578
8.0,-264.14483642578125
10.0,-545.8385620117188
10.0,-374.8294677734375
9.0,-192.49172973632812
10.0,-564.7825927734375
10.0,-406.25189208984375
10.0,-486.4427185058594
4.0,-206.3783721923828
7.0,-218.59640502929688
9.0,-190.6825714111328
9.0,-698.6099853515625
8.0,-375.1733703613281
6.0,-175.3972930908203
8.0,-217.42431640625
10.0,-298.5864562988281
9.0,-393.9411926269531
10.0,-83.09435272216797
9.0,-341.51043701171875
9.0,-157.94207763671875
6.0,-138.9578094482422
9.0,-9.479623794555664
9.0,-207.63182067871094
9.0,-46.28929901123047
9.0,-93.39399719238281
7.0,-167.586669921875
3.0,-163.74266052246094
9.0,-43.08881378173828
8.0,-79.57746887207031
9.0,-154.6796875
6.0,-172.3805694580078
3.0,-90.52838897705078
9.0,-250.33261108398438
9.0,-288.30450439453125
10.0,-216.6741180419922
9.0,-288.7187805175781
9.0,-755.1521606445312
10.0,-508.06231689453125
10.0,-494.4004211425781
8.0,-325.2372131347656
10.0,-41.23084259033203
10.0,-60.1305046081543
10.0,-358.5401611328125
9.0,-192.00347900390625
9.0,-267.4905700683594
7.0,-112.59867095947266
9.0,-418.0903015136719
10.0,-121.64336395263672
9.0,-13.891972541809082
10.0,-638.0828857421875
10.0,-51.20365524291992
8.0,-152.5438232421875
8.0,-280.8721618652344
6.0,-419.5370178222656
10.0,-993.1245727539062
9.0,-125.0682601928711
9.0,-172.80653381347656
10.0,-269.8843994140625
9.0,-358.4476013183594
10.0,-44.056488037109375
10.0,-31.361331939697266
10.0,-74.95867919921875
10.0,-313.75042724609375
9.0,-150.82632446289062
9.0,-281.2941589355469
9.0,-137.45501708984375
9.0,-136.84642028808594
9.0,-481.60089111328125
7.0,-785.1044311523438
6.0,-134.01669311523438
8.0,-511.0032653808594
9.0,-243.3969268798828
9.0,-265.9410705566406
4.0,-100.19886779785156
9.0,-225.77488708496094
10.0,-46.615230560302734
8.0,-336.1378173828125
8.0,-334.60296630859375
9.0,-400.0011901855469
7.0,-578.457763671875
10.0,-1242.990478515625
8.0,-340.7139892578125
10.0,-421.185302734375
9.0,-402.2138366699219
8.0,-445.74810791015625
8.0,-430.20526123046875
7.0,-551.0521850585938
10.0,-361.9532470703125
1.0,-286.9869079589844
8.0,-309.3876953125
10.0,-70.42167663574219
9.0,-105.67488861083984
8.0,-132.21311950683594
9.0,-249.51124572753906
10.0,-611.3873291015625
9.0,-188.02203369140625
7.0,-1312.9495849609375
9.0,-58.67710494995117
5.0,-223.08946228027344
8.0,-348.0853271484375
8.0,-300.17230224609375
8.0,-266.1953430175781
6.0,-573.7224731445312
9.0,-143.26161193847656
9.0,-181.58193969726562
9.0,-1222.091552734375
9.0,-480.00274658203125
10.0,-353.83831787109375
7.0,-170.4374237060547
9.0,-603.4721069335938
9.0,-272.404052734375
7.0,-305.3094787597656
8.0,-335.962890625
9.0,-273.7931213378906
10.0,-726.5589599609375
6.0,-258.84844970703125
8.0,-248.73927307128906
8.0,-344.5361022949219
9.0,-403.8198547363281
10.0,-226.2440185546875
7.0,-429.6496276855469
10.0,-387.0650939941406
7.0,-349.24603271484375
7.0,-588.7445068359375
9.0,-336.8940124511719
8.0,-112.9081039428711
10.0,-170.9099884033203
9.0,-242.40887451171875
4.0,-696.415283203125
8.0,-522.2970581054688
8.0,-100.61207580566406
7.0,-181.61888122558594
9.0,-191.19107055664062
10.0,-147.78424072265625
10.0,-230.87680053710938
6.0,-185.35275268554688
8.0,-232.58872985839844
9.0,-364.1751403808594
10.0,-313.1244812011719
10.0,-361.59442138671875
9.0,-82.63375854492188
9.0,-209.3777313232422
8.0,-185.0104217529297
9.0,-179.34217834472656
9.0,-151.65480041503906
